FD,convexity,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,label
1.275,0.9215858902,0.3183098862,0.0008377887,0.0024332211,0.0019151123,0.001792732,0.0038708928,0.004013193,0.0032738372,0.0004851933,0.002965822,0.0061138649,0.005056304,0.0055294385,0.0047469057,0.0006606142,0.0013228992,0.004421738,0.0086622259,0.0070148182,0.0058262995,0.0069544909,0.0063613185,0.0008192357,0.0022746703,0.0030504551,0
1.236,0.917247042,0.3183098862,0.0014504714,0.0002769979,0.0027655535,0.0030278436,0.0039626262,0.0003633953,0.0044228034,0.0004058526,0.0048511036,0.0060998408,0.0072318501,0.000286347,0.0057799592,0.0007940128,0.0013933879,0.0070181642,0.00836611,0.0098859999,0.0067785397,4.69198441844137E-05,0.0066810859,0.0014823074,0.0020744526,0.0044406462,0
1.231,0.9541040654,0.3183098862,0.0015808216,0.0003928782,0.000282988,0.0031974424,0.0025900846,0.0006803801,0.0005740815,0.0039887258,0.0048684966,0.0039426219,0.0037825264,0.0009948619,0.0011147093,0.0052928092,0.0043514746,0.0065762119,0.0053645331,0.0055573247,0.0125736497,0.0013254529,0.0020957645,0.0063011343,0.0054663472,0.0033814098,0
1.086,0.8942317481,0.3183098862,0.000378803,0.0023364964,0.002125013,0.0008567844,0.0051381521,0.0037444712,0.0034955518,0.0030651667,0.0015528332,0.0078669677,0.0055082362,0.0048967655,0.0047963797,0.0037700973,0.0018617036,0.0025847589,0.0107287914,0.007611301,0.0007732562,0.0056353071,0.0060050113,0.00392629,0.0023956524,0.006842597,0
1.0968,0.9323235879,0.3183098862,0.0009498392,0.0010675313,0.0019497803,0.0020364844,0.0026192581,0.0017644204,0.0033243225,0.0020369181,0.0033810176,0.0042077197,0.0033637022,0.0024437221,0.0048022036,0.0027373141,0.0011120218,0.0050688597,0.0060661991,0.0047549629,0.0039071985,0.0031055139,0.0064060252,0.0033114225,0.001987571,0.0055949013,0
1.2307,0.8781802888,0.3183098862,0.0011382326,0.0002806308,0.0007318758,0.0022996318,0.0017231462,0.000388628,0.0010265969,0.0025184257,0.0034971198,0.0024413575,0.0066524945,0.0003857198,0.0010166584,0.0033809041,0.0089345046,0.0047200163,0.003013344,0.0093691016,0.0062589409,0.000243839,0.0006405505,0.0041181558,0.0107747577,0.0017370668,0
1.1877,0.8945579331,0.3183098862,0.0015037469,0.0017605928,0.0026658083,0.0030256278,0.0036166181,0.0029368844,0.004383788,0.0021283381,0.0045838396,0.0056577529,0.0046748962,0.0041143698,0.0060084043,0.0028876926,0.0035285901,0.0061907304,0.0079284671,0.0065135697,0.0076341712,0.0052868043,0.0075032732,0.0035457759,0.0051112622,0.0043773414,0
1.1624,0.8859479706,0.3183098862,0.0015651418,0.0023489681,0.0021782088,0.0032565116,0.0031258602,0.0038097838,0.0035380905,0.0007654782,0.0051948351,0.0048726727,0.0061015523,0.0050917042,0.0047523399,0.0007618761,0.0024989257,0.0074827124,0.0067796912,0.0083954349,0.0022453179,0.0060860037,0.0057548009,0.0005895613,0.0031369931,0.0059876413,0
1.1885,0.9238637534,0.3183098862,0.0017723399,0.0003499637,0.0017979185,0.0036002423,0.0013532277,0.0007384906,0.0028754133,0.0019503309,0.0055201721,0.0023921716,0.0022859637,0.0013768956,0.0037797076,0.002486046,0.0062946786,0.0075274015,0.0038293043,0.0033675071,0.0041532613,0.002393092,0.0044640613,0.0027825478,0.0083553819,0.0103045233,0
1.2062,0.8746811481,0.3183098862,0.0006701828,0.0031168427,0.001685064,0.001385622,0.004782093,0.005145842,0.0028581943,0.001588378,0.0021943468,0.007481991,0.0044577439,0.0070966036,0.0041071638,0.0021397538,0.0029508605,0.0031340812,0.0104940096,0.0062095422,0.0065624383,0.0089278157,0.0054647412,0.0026012083,0.0043594334,0.0013314014,0
1.2007,0.8553586526,0.3183098862,0.0016505568,0.0023508029,0.000582105,0.0034460084,0.003780096,0.003817961,0.0010586014,0.002192809,0.0055207307,0.0058737857,0.0048752368,0.0051104572,0.0016654672,0.0030558192,0.0011038331,0.0079827227,0.008148812,0.0067528024,0.0049133214,0.0061145704,0.0024480928,0.0040135841,0.0018611927,0.0029438328,0
1.1946,0.9243835977,0.3183098862,0.0009602865,0.0023561664,0.0021795207,0.0020671966,0.003130665,0.0038468889,0.003552984,0.0007706481,0.0034580692,0.0048942402,0.006105945,0.0052001168,0.0048004644,0.0008137998,0.0024580229,0.0052445278,0.006835447,0.0083884564,0.0022466439,0.0063305418,0.005863163,0.00065328,0.0030162951,0.0059887192,0
1.1437,0.9099512522,0.3183098862,0.0014017435,0.0004156492,0.0010813047,0.0028433717,0.0003165672,0.0007950944,0.0015737219,0.0013022737,0.0043527529,0.0006545179,0.0040324595,0.001319045,0.0016915102,0.0021507642,0.0043551653,0.0059322303,0.0011919875,0.0059578574,0.0104655357,0.0020260889,0.0012319089,0.003311193,0.004463442,0.0040733468,0
1.1647,0.871355732,0.3183098862,0.0006655883,0.0037102065,0.0017977729,0.0014474386,0.0024024745,0.0059831849,0.0030193936,0.0037939324,0.0024557712,0.0037351043,0.0038576485,0.0079067192,0.0042723106,0.0044685868,0.0014703949,0.0037851045,0.0051861211,0.0052886444,0.0035213425,0.00925212,0.0055620795,0.0042900457,0.001928755,0.0089817139,0
1.2139,0.9080984945,0.3183098862,0.0017922406,0.0017650737,0.0026747855,0.0037228661,0.0036124428,0.0029621991,0.0044229439,0.0021610569,0.0059159193,0.0056605489,0.0046649013,0.0041970883,0.006112067,0.0029840273,0.0034667083,0.0084630528,0.0079385747,0.0064235234,0.0076954278,0.0054961814,0.0077098228,0.0037707903,0.0050477827,0.0042156945,0
1.2129,0.8852182855,0.3183098862,0.0016848168,0.0009668484,0.0032042853,0.0034944179,0.0048383634,0.0015116926,0.0051785161,0.0014965055,0.0055465556,0.0074216022,0.0059366609,0.001889898,0.0068914082,0.0022127355,0.0011734231,0.0079392202,0.010142078,0.0081514472,0.004968189,0.0020054519,0.0082066535,0.0031233625,0.0021038446,0.0036509084,0
1.2753,0.7849007713,0.3183098862,0.0010744389,0.0010840369,0.0028348952,0.0021573291,0.0027284883,0.0018451105,0.004645913,0.0010309371,0.0032603653,0.0043088729,0.0052034506,0.0026619313,0.0063363926,0.0014066267,0.0042820519,0.0043948866,0.0061106824,0.007168138,0.0060915697,0.00355113,0.0078685008,0.0017430486,0.0053360838,0.0020943514,0
1.246,0.9137149061,0.3183098862,0.0010047968,0.0002430514,0.0027641912,0.0020297937,0.0027695427,0.0001993564,0.0043164199,0.0060988006,0.0030922917,0.0041898443,0.0043916403,0.0001493796,0.0053959573,0.0086017198,0.0084529048,0.0042029963,0.0056406703,0.0059649715,0.0059941391,0.0009148972,0.0057530416,0.0111290255,0.0094238263,0.0060717271,0
1.1362,0.9243030241,0.3183098862,0.0009377281,0.0030105844,0.0012637334,0.0019452611,0.00055122,0.0046058584,0.0020765423,0.0034860753,0.0030817411,0.0007147789,0.0003087352,0.0055514256,0.00284302,0.0045786527,0.001059077,0.0043830102,0.0007549356,0.0002553301,0.000851149,0.0055354832,0.0035415626,0.0052783573,0.0013163865,0.0036595602,0
1.2197,0.9505140664,0.3183098862,0.0018794515,0.0010196757,0.0014099041,0.0037895894,0.0009498293,0.0017854375,0.002221837,0.0038769898,0.0057407292,0.0012832254,0.0019786711,0.0026943778,0.0028315841,0.005087176,0.0033286691,0.0077003333,0.0015070705,0.0022567594,0.008978426,0.0038278489,0.0031532407,0.0059214511,0.0046593867,0.0055828045,0
1.1975,0.7990661514,0.3183098862,0.0002413099,0.0017412443,0.0024345374,0.0005785292,0.0047944817,0.0028393888,0.0041542959,0.0016183184,0.0010956062,0.0075464343,0.0039787378,0.003838671,0.0060095449,0.0022744715,0.0007170246,0.0018412692,0.0106612491,0.0055704248,0.0061672647,0.0046901203,0.008032816,0.0029407758,0.0009593557,0.0036075086,0
1.3052,0.9426647953,0.3183098862,0.0006884788,0.0011299422,0.004436798,0.0014024323,0.0015566166,0.002074517,0.0071332009,0.0042397762,0.0021664381,0.0024346453,0.0051971998,0.0033034212,0.0094001895,0.0059557004,0.007181054,0.0030005599,0.0034165902,0.0070809738,0.0073111283,0.0049219866,0.0110014729,0.0076556757,0.0082884566,0.0005172125,0
1.1603,0.8943452286,0.3183098862,0.0009127947,0.0023381372,0.0020278925,0.0019075587,0.003840188,0.0037547424,0.0032203866,0.0020813531,0.0030794059,0.0059130037,0.0084156521,0.0049340298,0.0041570082,0.0025581127,0.0030604227,0.0045316445,0.0081101347,0.0114819126,0.0024390701,0.0057386691,0.0047082403,0.0027142843,0.0033701723,0.0101979879,0
1.1835,0.9041760933,0.3183098862,0.001614984,0.0003405955,0.0015734176,0.0032798356,0.0011927184,0.0006909588,0.0024891993,0.0031376347,0.0050240246,0.0019246121,0.0013159791,0.0012412492,0.0032097993,0.0042549984,0.0032431152,0.0068337537,0.0028819603,0.002030932,0.0040706779,0.0020965388,0.003676407,0.0052544253,0.004525975,0.0081500333,0
1.2503,0.9055560632,0.3183098862,0.0016607051,0.0003747961,0.0014415508,0.0033641433,0.001302042,0.0005897737,0.002486467,0.0048631556,0.0051349439,0.0019317889,0.0026642228,0.0007406274,0.0036762466,0.0066077014,0.0043259403,0.0069591606,0.002585045,0.004093795,0.0067147809,0.0007802884,0.0051086771,0.0081523734,0.0056280326,0.0062416875,0
1.2923,0.9374331366,0.3183098862,0.0004494949,0.0050567403,0.0006870195,0.000940229,0.0011616061,0.0080023579,0.0011502766,0.0028110183,0.0015098495,0.0017083115,0.0025384125,0.0102724845,0.0016203492,0.0036882933,0.0016223925,0.0021866293,0.0022182465,0.0033124782,0.0016060062,0.0115358344,0.0020980456,0.0042335421,0.0021115482,0.0046230166,0
1.2287,0.9174986772,0.3183098862,0.0014608595,0.0023408623,0.0019718074,0.0030033841,0.00030519,0.0035426878,0.003258726,0.0049371856,0.0046943099,0.0004949144,0.0006494035,0.0041786221,0.0044985937,0.006619921,0.0030245718,0.0065687204,0.0007874413,0.0009816145,0.0044252575,0.0039777764,0.0056628196,0.0079253076,0.0039766096,0.0017008415,0
