lesion_id,globules_present,streaks_present,pigment_network_present,dots_present,structureless_present,num_structures,D_value
ISIC_0000000,0,0,1,0,0,1,0.5
ISIC_0000001,1,1,1,0,0,3,1.5
ISIC_0000003,0,0,1,0,0,1,0.5
ISIC_0000004,0,0,0,0,0,0,0.0
ISIC_0000006,0,0,1,0,0,1,0.5
ISIC_0000007,0,0,1,0,0,1,0.5
ISIC_0000008,1,0,1,0,0,2,1.0
ISIC_0000009,1,0,1,0,0,2,1.0
ISIC_0000011,0,0,0,0,0,0,0.0
ISIC_0000012,1,0,1,0,0,2,1.0
ISIC_0000013,1,1,1,0,0,3,1.5
ISIC_0000014,0,0,0,0,0,0,0.0
ISIC_0000015,0,0,1,0,0,1,0.5
ISIC_0000016,0,0,1,0,0,1,0.5
ISIC_0000017,1,0,1,0,0,2,1.0
ISIC_0000018,0,0,1,0,0,1,0.5
ISIC_0000019,0,0,1,0,0,1,0.5
ISIC_0000020,0,0,1,0,0,1,0.5
ISIC_0000021,1,0,1,0,0,2,1.0
ISIC_0000022,0,0,1,0,0,1,0.5
ISIC_0000023,0,0,0,0,0,0,0.0
ISIC_0000024,0,0,0,0,0,0,0.0
ISIC_0000025,0,0,1,0,0,1,0.5
ISIC_0000026,0,0,0,0,0,0,0.0
ISIC_0000027,1,0,1,0,0,2,1.0
ISIC_0000028,0,0,1,0,0,1,0.5
ISIC_0000029,0,0,1,0,0,1,0.5
ISIC_0000030,1,0,0,0,0,1,0.5
ISIC_0000031,1,1,1,0,0,3,1.5
ISIC_0000032,1,0,1,0,0,2,1.0
ISIC_0000034,1,1,1,0,0,3,1.5
ISIC_0000035,1,0,0,0,0,1,0.5
ISIC_0000036,0,0,1,0,0,1,0.5
ISIC_0000037,1,0,1,0,0,2,1.0
ISIC_0000038,0,0,1,0,0,1,0.5
ISIC_0000039,0,0,1,0,0,1,0.5
ISIC_0000040,0,0,0,0,0,0,0.0
ISIC_0000041,0,0,0,0,0,0,0.0
ISIC_0000042,1,0,1,0,0,2,1.0
ISIC_0000043,1,0,1,0,0,2,1.0
ISIC_0000044,1,0,1,0,0,2,1.0
ISIC_0000045,0,0,0,0,0,0,0.0
ISIC_0000046,0,0,1,0,0,1,0.5
ISIC_0000047,1,0,1,0,0,2,1.0
ISIC_0000048,0,0,1,0,0,1,0.5
ISIC_0000049,1,0,1,0,0,2,1.0
ISIC_0000050,0,0,1,0,0,1,0.5
ISIC_0000051,0,0,1,0,0,1,0.5
ISIC_0000052,1,0,1,0,0,2,1.0
ISIC_0000053,1,0,1,0,0,2,1.0
ISIC_0000054,0,0,1,0,0,1,0.5
ISIC_0000055,0,0,1,0,0,1,0.5
ISIC_0000056,0,0,1,0,0,1,0.5
ISIC_0000057,0,0,1,0,0,1,0.5
ISIC_0000058,1,0,1,0,0,2,1.0
ISIC_0000059,0,0,1,0,0,1,0.5
ISIC_0000060,0,0,1,0,0,1,0.5
ISIC_0000061,1,0,1,0,0,2,1.0
ISIC_0000062,1,0,1,0,0,2,1.0
ISIC_0000063,0,0,1,0,0,1,0.5
ISIC_0000064,1,0,1,0,0,2,1.0
ISIC_0000065,1,0,1,0,0,2,1.0
ISIC_0000066,0,0,1,0,0,1,0.5
ISIC_0000067,1,0,1,0,0,2,1.0
ISIC_0000068,0,0,1,0,0,1,0.5
ISIC_0000069,1,0,1,0,0,2,1.0
ISIC_0000071,0,0,1,0,0,1,0.5
ISIC_0000072,0,0,1,0,0,1,0.5
ISIC_0000073,1,1,1,0,0,3,1.5
ISIC_0000074,0,0,1,0,0,1,0.5
ISIC_0000075,0,0,1,0,0,1,0.5
ISIC_0000077,0,0,1,0,0,1,0.5
ISIC_0000078,1,0,1,0,0,2,1.0
ISIC_0000079,0,0,1,0,0,1,0.5
ISIC_0000080,0,0,1,0,0,1,0.5
ISIC_0000081,1,0,0,0,0,1,0.5
ISIC_0000082,0,0,1,0,0,1,0.5
ISIC_0000085,0,0,1,0,0,1,0.5
ISIC_0000086,1,0,1,0,0,2,1.0
ISIC_0000087,0,0,1,0,0,1,0.5
ISIC_0000088,0,0,1,0,0,1,0.5
ISIC_0000089,0,0,1,0,0,1,0.5
ISIC_0000091,0,0,1,0,0,1,0.5
ISIC_0000092,0,0,0,0,0,0,0.0
ISIC_0000093,0,0,1,0,0,1,0.5
ISIC_0000094,0,0,1,0,0,1,0.5
ISIC_0000095,0,0,1,0,0,1,0.5
ISIC_0000096,1,0,1,0,0,2,1.0
ISIC_0000097,1,0,1,0,0,2,1.0
ISIC_0000098,0,1,0,0,0,1,0.5
ISIC_0000099,0,0,0,0,0,0,0.0
ISIC_0000100,0,0,1,0,0,1,0.5
ISIC_0000101,0,0,0,0,0,0,0.0
ISIC_0000102,0,0,1,0,0,1,0.5
ISIC_0000103,1,1,1,0,0,3,1.5
ISIC_0000104,0,0,0,0,0,0,0.0
ISIC_0000105,1,0,1,0,0,2,1.0
ISIC_0000107,0,0,1,0,0,1,0.5
